store_id,store_name,store_address,store_zip_code,store_country_code,store_capabilities,lattitude,longitude
2525,ALABASTER LOWE'S,"235 Colonial Promenade PkwyAlabaster, AL 35007",35007,AL,N/A,12.2958104,76.6393805
2659,N. ANNISTON LOWE'S,"4901 Mcclellan BlvdAnniston, AL 36206",36206,AL,N/A,12.2958104,76.6393805
1799,ATHENS LOWE'S,"1109 U.S. Highway 72 EastAthens, AL 35611",35611,AL,N/A,12.2958104,76.6393805
1531,BESSEMER LOWE'S,"1201 19th St NorthBessemer, AL 35020",35020,AL,N/A,12.2958104,76.6393805
0313,CULLMAN LOWE'S,"1717 Cherokee Avenue, SwCullman, AL 35055",35055,AL,N/A,12.2958104,76.6393805
2251,DAPHNE LOWE'S,"29645 Frederick BlvdDaphne, AL 36526",36526,AL,N/A,12.2958104,76.6393805
1176,DECATUR LOWE'S,"1641 Beltline Rd SWDecatur, AL 35601",35601,AL,N/A,12.2958104,76.6393805
0281,ENTERPRISE LOWE'S,"1301 Boll Weevil CirEnterprise, AL 36330",36330,AL,N/A,12.2958104,76.6393805
0481,FLORENCE LOWE'S,"130 Cox Creek Pkwy. SouthFlorence, AL 35630",35630,AL,N/A,12.2958104,76.6393805
0577,FOLEY LOWE'S,"3101 South Mckenzie Hwy 59Foley, AL 36535",36535,AL,N/A,12.2958104,76.6393805
1786,FT. PAYNE LOWE'S,"1600 Glenn Blvd S.W.Fort Payne, AL 35968",35968,AL,N/A,12.2958104,76.6393805
1744,FULTONDALE LOWE'S,"1335 Walker Chapel RdFultondale, AL 35068",35068,AL,N/A,12.2958104,76.6393805
1640,GADSDEN LOWE'S,"615 George Wallace DrGadsden, AL 35903",35903,AL,N/A,12.2958104,76.6393805
1115,GUNTERSVILLE LOWE'S,"11190 U.S. Highway 431 SouthGuntersville, AL 35976",35976,AL,N/A,12.2958104,76.6393805
3006,HARTSELLE LOWE'S,"1807 Highway 31 NWHartselle, AL 35640",35640,AL,N/A,//maps.google.com/maps?daddr=1807 Highway 31 NW+Hartselle,+AL+35640
0580,HOMEWOOD LOWE'S,"375 State Farm Pkwy WHomewood, AL 35209",35209,AL,N/A,12.2958104,76.6393805
0620,HOOVER LOWE'S,"2100 Valleydale RdHoover, AL 35244",35244,AL,N/A,12.2958104,76.6393805
1737,LEEDS LOWE'S,"8900 Weaver AveLeeds, AL 35094",35094,AL,N/A,12.2958104,76.6393805
0663,MADISON LOWE'S,"7920 Highway 72 WestMadison, AL 35758",35758,AL,N/A,12.2958104,76.6393805
0441,S. MONTGOMERY LOWE'S,"1950 Eastern BlvdMontgomery, AL 36117",36117,AL,N/A,12.2958104,76.6393805
1093,MUSCLE SHOALS LOWE'S,"3415 Woodward AveMuscle Shoals, AL 35661",35661,AL,N/A,12.2958104,76.6393805
2488,NORTHPORT LOWE'S,"5703 Mcfarland BlvdNorthport, AL 35476",35476,AL,N/A,12.2958104,76.6393805
0736,OPELIKA LOWE'S,"1701 Frederick RdOpelika, AL 36801",36801,AL,N/A,12.2958104,76.6393805
2451,SE HUNTSVILLE LOWE'S,"6584 Us Highway 431 SouthOwens Cross Roads, AL 35763",35763,AL,N/A,12.2958104,76.6393805
0698,OXFORD LOWE'S,"1836 U.S. Highway 78 EastOxford, AL 36203",36203,AL,N/A,12.2958104,76.6393805
1181,PRATTVILLE LOWE'S,"2307 Cobbs Ford RdPrattville, AL 36066",36066,AL,N/A,12.2958104,76.6393805
2212,TROY LOWE'S,"1421 U.S. Highway 231 SouthTroy, AL 36081",36081,AL,N/A,12.2958104,76.6393805
0423,TUSCALOOSA LOWE'S,"4900 Oscar Baxter DrTuscaloosa, AL 35405",35405,AL,N/A,12.2958104,76.6393805
2885,WETUMPKA LOWE'S,"4501 U.S. Highway 231Wetumpka, AL 36092",36092,AL,N/A,12.2958104,76.6393805
1985,FAIRBANKS LOWE'S,"425 Merhar AveFairbanks, AK 99701",99701,AK,N/A,12.2958104,76.6393805
2512,WASILLA LOWE'S,"2561 East Sun Mountain AveWasilla, AK 99654",99654,AK,N/A,12.2958104,76.6393805
2295,BUCKEYE LOWE'S,"700 South Watson RdBuckeye, AZ 85326",85326,AZ,N/A,12.2958104,76.6393805
2202,BULLHEAD CITY LOWE'S,"1680 Highway 95Bullhead City, AZ 86442",86442,AZ,N/A,12.2958104,76.6393805
2683,CAREFREE LOWE'S,"34700 N. Cave Creek RdCarefree, AZ 85377",85377,AZ,N/A,12.2958104,76.6393805
2272,CASA GRANDE LOWE'S,"1436 East Florence BlvdCasa Grande, AZ 85122",85122,AZ,N/A,12.2958104,76.6393805
1728,GLENDALE LOWE'S,"5809 West Northern AveGlendale, AZ 85301",85301,AZ,N/A,12.2958104,76.6393805
1553,GOODYEAR LOWE'S,"13191 West Mcdowell RdGoodyear, AZ 85338",85338,AZ,N/A,12.2958104,76.6393805
2562,LAKE HAVASU LOWE'S,"4000 Highway 95NLake Havasu City, AZ 86404",86404,AZ,N/A,12.2958104,76.6393805
1157,PRESCOTT LOWE'S,"2300 East State Route 69Prescott, AZ 86301",86301,AZ,N/A,12.2958104,76.6393805
2833,SHOW LOW LOWE'S,"5800 South White Mountain RdShow Low, AZ 85901",85901,AZ,N/A,//maps.google.com/maps?daddr=5800 South White Mountain Rd+Show Low,+AZ+85901
2663,SIERRA VISTA LOWE'S,"3700 Martin Luther King PkwySierra Vista, AZ 85635",85635,AZ,N/A,12.2958104,76.6393805
1607,SURPRISE LOWE'S,"13363 W. Grand AveSurprise, AZ 85374",85374,AZ,N/A,//maps.google.com/maps?daddr=13363 W. Grand Ave+Surprise,+AZ+85374
3000,TEMPE LOWE'S,"777 East Baseline RdTempe, AZ 85283",85283,AZ,N/A,12.2958104,76.6393805
1082,YUMA LOWE'S,"115 West 32nd StYuma, AZ 85364",85364,AZ,N/A,12.2958104,76.6393805
